Temp 0C,RH %,SM %,IM%,TM%,VM%,ASH%,FC%,Gross Calorific Value
31,85,3.158892282,5.03,8.03,28.519491,33.42944,33.021069,4677.588025
32,73,3.337896178,5.03,8.2,26.21172,36.364013,32.394267,4401.397752
32,79,3.232599768,5.03,8.1,27.208905,34.958457,32.802638,4533.683061
31,81,3.337896178,5.03,8.2,32.983081,26.867013,35.119906,5295.217404
30,85,3.443192587,5.03,8.3,32.080866,30.361909,32.527225,4966.291773
30,87,4.443508476,5.03,9.25,26.705564,32.223321,36.041115,4791.103121
32,76,4.074971043,5.03,8.9,30.076999,32.555716,32.337285,4759.819433
30,89,4.204868795,5.11,9.1,30.677937,31.750194,32.461869,4823.987141
30,83,4.468331753,5.11,9.35,29.937795,30.962607,33.989598,4898.11168
31,87,3.951944357,5.11,8.86,29.406411,31.560414,33.923175,4841.848476
30,89,4.204868795,5.11,9.1,30.810783,30.829761,33.249456,4910.614614
31,81,3.99409843,5.11,8.9,27.451677,32.775006,34.663317,4727.535935
30,84,4.079266364,5.13,9,27.89178,38.479272,28.498948,4187.762036
31,79,3.826288605,5.13,8.76,24.628252,39.826426,30.415322,4060.973291
30,80,3.657636766,5.13,8.6,26.345399,37.530572,30.994029,4277.049886
30,80,3.844128489,5.05,8.7,25.873875,37.50525,31.570875,4291.077891
30,85,4.223275408,5.05,9.06,28.019745,36.394335,30.53592,4395.632767
30,85,4.054765666,5.05,8.9,27.089235,36.432315,31.42845,4392.058241
29,86,4.370721432,5.05,9.2,26.652465,39.40425,28.893285,4112.351607
29,90,4.402317009,5.05,9.23,29.292075,34.970085,30.68784,4529.67748
29,90,4.58135861,5.05,9.4,27.108225,38.9295,28.912275,4157.033178
30,90,4.602422328,5.05,9.42,26.15345,40.29678,28.49977,4028.350254
30,89,4.075829384,5.05,8.92,27.070245,39.51819,28.361565,4101.62803
30,90,4.075829384,5.05,8.92,28.304595,34.03008,32.615325,4618.146991
30,87,3.896787783,5.05,8.75,27.393075,37.628685,29.92824,4279.460683
30,86,4.072826773,4.98,8.85,29.256658,36.003078,29.760264,4442.645511
30,82,4.020206272,4.98,8.8,27.916876,39.224256,27.878868,4139.481122
30,85,3.830772469,4.98,8.62,26.615102,40.297982,28.106916,4038.426326
30,82,4.188591875,4.98,8.96,27.517792,40.155452,27.346756,4051.84068
31,79,3.88339297,4.98,8.67,26.092492,40.602046,28.325462,4009.809039
31,85,3.88339297,4.98,8.67,25.959464,39.594834,29.465702,4104.603803
30,81,4.125447274,4.98,8.9,26.539086,42.084358,26.396556,3870.299762
30,84,4.230688276,4.98,9,25.921456,42.654478,26.444066,3816.642349
29,87,4.335929278,4.98,9.1,25.60789,43.547666,25.864444,3732.579067
29,84,4.335929278,4.98,9.1,27.717334,36.592202,30.710464,4387.199517
31,77,3.791868549,5.06,8.66,28.121228,33.105578,33.713194,4703.701821
31,75,4.065725722,5.06,8.92,26.96296,35.725922,32.251118,4457.085525
31,77,3.939330103,5.06,8.8,25.899632,37.92853,31.111838,4249.784871
30,84,4.223720244,5.06,9.07,26.830044,38.488676,29.62128,4197.06617
31,79,4.318516958,5.06,9.16,28.330096,35.441102,31.168802,4483.891644
30,81,4.002527912,5.06,8.86,27.542094,35.6025,31.795406,4468.70151
30,90,4.434379608,5.06,9.27,28.396554,37.805108,28.738338,4261.400855
30,90,3.370549821,5.06,8.26,28.605422,35.241728,31.09285,4502.655928
30,84,3.662001473,4.97,8.45,26.475358,38.221066,30.333576,4235.352952
30,83,4.240766074,4.97,9,26.864981,38.183054,29.981965,4238.93049
30,81,3.567294539,4.97,8.36,26.256789,35.702771,33.07044,4472.364805
31,82,3.819846364,4.97,8.6,28.442479,38.012,28.575521,4255.029408
31,84,3.925076292,4.97,8.7,29.183713,33.963722,31.882565,4636.03714
31,86,3.430495633,4.97,8.23,26.285298,39.019318,29.725384,4160.224667
31,76,3.851415343,4.97,8.63,28.442479,35.35116,31.236361,4505.457025
31,84,3.746185415,4.97,8.53,26.047723,36.710089,32.272188,4377.560064
31,83,4.030306219,4.97,8.8,27.948323,36.58655,30.495127,4389.18706
32,85,3.504156582,4.97,8.3,28.290431,35.06607,31.673499,4532.288556
31,83,3.60938651,4.97,8.4,28.081365,34.144279,32.804356,4619.043838
32,80,3.714616437,4.97,8.5,26.408837,41.252523,27.36864,3950.044345
32,82,3.60938651,4.97,8.4,27.93882,34.505393,32.585787,4585.057232
31,77,3.977691255,4.97,8.75,27.216592,38.335102,29.478306,4224.62034
31,80,3.662001473,4.97,8.45,28.052856,37.413311,29.563833,4311.375622
32,80,3.556771546,4.97,8.35,27.805778,38.848264,28.375958,4176.323585
31,72,3.398926655,4.97,8.2,26.855478,41.993757,26.180765,3880.282366
31,70,4.036157242,4.86,8.7,27.06733,38.322392,29.750278,4241.828155
31,78,3.563170065,4.86,8.25,28.694224,34.478736,31.96704,4603.577683
31,72,4.141265503,4.86,8.8,27.97116,34.669016,32.499824,4585.66929
31,75,3.87849485,4.86,8.55,27.809422,39.86366,27.466918,4096.770175
31,72,3.773386588,4.86,8.45,27.371778,37.114114,30.654108,4355.546447
32,64,3.87849485,4.86,8.55,26.25864,39.064484,29.816876,4171.985424
31,65,4.193819634,4.86,8.85,27.200526,39.711436,28.228038,4111.096889
31,64,3.542148413,4.86,8.23,27.010246,40.091996,28.037758,4075.280104
31,72,3.510615934,4.86,8.2,25.849538,41.57618,27.714282,3935.594643
30,74,3.46857263,4.86,8.16,26.477462,38.541214,30.121324,4221.233503
31,75,4.036157242,4.86,8.7,26.201556,40.757976,28.180468,4012.600731
31,84,3.662001473,4.97,8.45,28.043353,40.606319,26.380328,4010.862481
31,83,3.819846364,4.97,8.6,26.142753,40.986439,27.900808,3975.087107
29,48,4.096638655,4.8,8.7,27.06536,40.72656,27.40808,4024.291079
29,45,3.728991597,4.8,8.35,24.58064,41.888,28.73136,3914.980992
29,52,3.571428571,4.8,8.2,24.92336,41.06928,29.20736,3992.035644
29,47,3.518907563,4.8,8.15,25.704,40.62184,28.87416,4034.146907
28,46,3.886554622,4.8,8.5,25.00904,42.09744,28.09352,3895.269337
28,46,3.644957983,4.8,8.27,25.25656,42.19264,27.7508,3886.309494
28,47,3.529411765,4.8,8.16,25.4184,40.6028,29.1788,4035.938875
28,47,3.518907563,4.8,8.15,23.9904,42.23072,28.97888,3882.725556
28,40,3.43487395,4.8,8.07,23.90472,40.65992,30.63536,4030.562969
28,40,3.571428571,4.8,8.2,24.66632,41.75472,28.77896,3927.524772
27,44,3.487394958,4.8,8.12,23.54296,41.72616,29.93088,3930.212725
27,46,3.781512605,4.8,8.4,23.67624,41.73568,29.78808,3929.316741
27,51,2.387714316,4.93,7.2,28.853745,29.034378,37.181877,5105.78968
27,48,2.545492795,4.93,7.35,26.705163,38.028,30.336837,4259.345952
25,53,2.598085621,4.93,7.4,24.404469,40.842072,29.823459,3994.496752
25,62,2.703271274,4.93,7.5,27.598821,39.672711,27.798468,4104.552332
26,57,2.913642579,4.93,7.7,30.641061,26.895303,37.533636,5307.110863
26,55,2.703271274,4.93,7.5,31.201974,28.435437,35.432589,5162.159611
25,55,3.124013885,4.93,7.9,28.121706,33.901962,33.046332,4647.672144
26,54,2.598085621,4.93,7.4,28.834731,27.769947,38.465322,5224.792868
26,55,3.229199537,4.93,8,27.960087,34.168158,32.941755,4622.618842
26,48,2.913642579,4.93,7.7,27.826989,36.31674,30.926271,4420.402898
25,49,2.913642579,4.93,7.7,29.148462,29.310081,36.611457,5079.841617
26,47,2.836134454,4.8,7.5,24.38072,42.14504,28.67424,3890.789415
26,47,3.124013885,4.93,7.9,27.389667,35.93646,31.743873,4456.193331
26,48,3.229199537,4.93,8,31.335072,27.389667,36.345261,5260.583301
26,48,3.124013885,4.93,7.9,29.443179,34.79562,30.831201,4563.564628
26,46,3.018828232,4.93,7.8,29.547756,31.135425,34.386819,4908.047541
26,45,3.965499106,4.93,8.7,31.021341,32.010069,32.03859,4825.729546
26,47,3.198653199,4.96,8,31.325184,28.340928,35.373888,5166.68762
27,46,2.462121212,4.96,7.3,29.148768,29.966112,35.92512,5013.731803
27,50,2.304292929,4.96,7.15,30.450816,27.409536,37.179648,5254.34651
27,56,3.724747475,4.96,8.5,29.852064,33.653664,31.534272,4666.674159
27,56,3.724747475,4.96,8.5,30.308256,31.420224,33.31152,4876.876598
26,69,2.567340067,4.96,7.4,29.975616,31.334688,33.729696,4884.926904
27,71,3.356481481,4.96,8.15,30.479328,30.089664,34.471008,5002.103583
26,53,3.409090909,4.96,8.2,31.486752,29.776032,33.777216,5031.621372
24,57,3.198653199,4.96,8,27.143424,30.31776,37.578816,4980.6361
24,47,3.303872054,4.96,8.1,32.712768,28.816128,33.511104,4755
24,52,3.198653199,4.96,8,25.99344,40.829184,28.217376,3991.342919
25,39,3.198653199,4.96,8,28.065312,34.413984,32.560704,4595.115882
24,42,3.052631579,5,7.9,28.842,34.314,31.844,4598.703576
24,41,2.736842105,5,7.6,25.764,35.492,33.744,4487.834928
24,41,3.578947368,5,8.4,29.317,28.861,36.822,5111.918124
25,45,2.736842105,5,7.6,28.5285,33.364,33.1075,4688.113776
25,44,2.368421053,5,7.25,29.6495,29.1175,36.233,5087.77737
25,54,2.789473684,5,7.65,26.638,28.3195,40.0425,5162.881938
25,55,2.263157895,5,7.15,29.564,29.9535,35.4825,5009.096394
25,54,2.947368421,5,7.8,28.272,33.915,32.813,4636.25586
25,57,3.294736842,5,8.13,27.5595,35.264,32.1765,4509.293376
25,53,3.368421053,5,8.2,29.4025,29.659,35.9385,5036.813556
25,54,2.526315789,5,7.4,29.184,31.1125,34.7035,4900.01595
26,47,2.421052632,5,7.3,28.367,35.131,31.502,4521.810804
27,49,3.052631579,5,7.9,30.324,29.3075,35.3685,5069.89533
26,55,3.105263158,5,7.95,30.4285,29.355,35.2165,5065.42482
27,58,3.157894737,5,8,28.5475,34.276,32.1765,4602.279984
28,46,3.052631579,5,7.9,28.0915,38.342,28.5665,4219.604328
25,39,3.084210526,5,7.93,29.754,35.891,29.355,4450.282644
25,38,2.736842105,5,7.6,28.804,32.946,33.25,4727.454264
25,40,3.578947368,5,8.4,29.013,36.651,29.336,4378.754484
26,53,3.010526316,5,7.86,28.4525,32.2715,34.276,4790.935506
26,48,3.052631579,5,7.9,31.1125,32.2335,31.654,4794.511914
27,34,2.90114991,5.21,7.96,29.508127,31.896835,33.385038,4795.629877
26,33,2.204873932,5.21,7.3,28.484395,33.678887,32.626718,4627.910271
27,41,3.048844815,5.21,8.1,28.873034,32.730987,33.185979,4717.122828
27,56,2.162675388,5.21,7.26,28.171588,31.09112,35.527292,4871.46055
28,51,2.479164469,5.21,7.56,29.66927,30.04843,35.0723,4969.594362
27,55,2.468614833,5.21,7.55,27.688159,35.024905,32.076936,4501.228441
27,56,2.468614833,5.21,7.55,32.996399,27.726075,34.067526,5188.165125
26,70,2.152125752,5.21,7.25,28.53179,32.655155,33.603055,4724.259832
27,63,2.521363013,5.21,7.6,31.498717,29.593438,33.697845,5012.416389
26,47,2.310370292,5.21,7.4,28.645538,30.52238,35.622082,4924.988084
28,51,2.755780805,5.29,7.9,24.207876,42.382725,28.119399,3797.095054
27,56,2.227853447,5.29,7.4,26.717691,42.6195,25.372809,3774.810738
25,54,2.521363013,5.21,7.6,28.465437,36.759562,29.565001,4337.969463
26,36,3.154341175,5.21,8.2,29.470211,31.688297,33.631492,4815.25664
26,34,2.521363013,5.21,7.6,30.209573,32.626718,31.953709,4726.936209
26,38,2.943348454,5.21,8,28.389605,31.261742,35.138653,4855.40229
27,39,2.310370292,5.21,7.4,25.356325,41.072507,28.361168,3932.052331
27,43,2.521363013,5.21,7.6,29.583959,28.692933,36.513108,5097.168318
28,41,2.732355734,5.21,7.8,28.673975,37.479966,28.636059,4270.16792
28,34,2.099377571,5.21,7.2,26.512763,38.503698,29.773539,4173.818359
29,51,2.732355734,5.21,7.8,28.15263,31.839961,34.797409,4800.982631
26,58,2.150991143,5.16,7.2,26.403456,34.701956,33.734588,4538.901109
26,55,3.521720793,5.16,8.5,25.6068,39.946608,29.286592,4045.295441
27,53,2.783635597,5.16,7.8,29.959956,29.997892,34.882152,4981.628797
27,51,2.46731337,5.16,7.5,25.198988,35.887456,33.753556,4427.326591
27,48,2.783635597,5.16,7.8,29.002072,34.019108,31.81882,4603.168031
27,37,2.625474483,5.16,7.65,30.083248,29.371948,35.384804,5040.540142
28,36,2.678194854,5.16,7.7,28.101092,33.203484,33.535424,4679.9313
28,30,2.361872628,5.16,7.4,27.257016,35.925392,31.657592,4423.756207
28,33,2.994517081,5.16,8,24.84808,41.568372,28.423548,3892.661501
31,29,3.205398566,5.16,8.2,25.682672,40.193192,28.964136,4022.087942
27,53,3.207427727,5.22,8.26,28.19705,35.608846,30.974104,4444.81465
27,37,3.492297953,5.22,8.53,27.135514,36.187004,31.457482,4390.400732
30,28,3.732602278,5.16,8.7,25.93874,40.610488,28.290772,3982.813711
30,28,3.627161535,5.16,8.6,28.964136,34.00014,31.875724,4604.953224
31,32,2.94179671,5.16,7.95,26.099968,40.174224,28.565808,4023.873134
31,44,3.574441164,5.16,8.55,26.725912,40.003512,28.110576,4039.939865
31,44,2.962884859,5.16,7.97,25.568864,44.318732,24.952404,3633.808619
31,42,2.361872628,5.16,7.4,25.028276,44.470476,25.341248,3619.527081
30,34,2.783635597,5.16,7.8,26.687976,35.84952,32.302504,4430.896976
30,31,2.889076339,5.16,7.9,29.049492,34.787312,31.003196,4530.867744
30,44,3.099957824,5.16,8.1,27.048368,37.679932,30.1117,4258.62592
30,48,3.627161535,5.16,8.6,26.944044,37.812708,30.083248,4246.129574
31,25,3.627161535,5.16,8.6,26.687976,36.295268,31.856756,4388.944957
30,30,2.985861996,5.22,8.05,25.619034,36.338652,32.822314,4376.128228
30,34,2.511078287,5.22,7.6,26.102412,36.660904,32.016684,4345.799159
30,35,2.682798527,4.95,7.5,27.707075,38.523765,28.81916,4209.775333
30,37,2.998421883,4.95,7.8,26.19578,39.97803,28.87619,4072.905729
29,48,2.367175171,4.95,7.2,27.41242,36.888905,30.748675,4363.641817
30,37,2.472382956,4.95,7.3,27.954205,35.47266,31.623135,4496.933131
31,37,2.314571278,4.95,7.15,25.007655,40.329715,29.71263,4039.806543
31,30,3.314045239,4.95,8.1,25.34033,42.88656,26.82311,3799.166519
31,25,2.682798527,4.95,7.5,27.16529,39.626345,28.258365,4106.004914
30,28,2.745923198,4.95,7.56,26.642515,38.83743,29.570055,4180.254438
31,36,2.893214098,4.95,7.7,27.39341,38.675845,28.980745,4195.462172
32,30,3.208837454,4.95,8,25.53043,40.79546,28.72411,3995.972487
34,36,4.536862004,4.78,9.1,30.70845,27.128178,37.383372,5307.027599
34,39,4.358328082,4.78,8.93,29.356326,26.118846,39.744828,5402.02189
34,36,4.116782189,4.78,8.7,27.718542,28.546956,38.954502,5173.497889
35,50,3.906742281,4.78,8.5,32.117706,27.594756,35.507538,5263.115144
35,46,3.486662466,4.78,8.1,28.489824,30.070476,36.6597,5030.110281
35,42,4.116782189,4.78,8.7,26.966304,33.460308,34.793388,4711.072852
33,57,3.381642512,4.78,8,31.641606,30.203784,33.37461,5017.563865
32,72,3.696702373,4.78,8.3,30.727494,27.880416,36.61209,5236.229968
32,73,3.801722327,4.78,8.4,29.80386,26.918694,38.497446,5326.743395
32,79,3.539172443,4.78,8.15,29.965734,29.80386,35.450406,5055.203112
32,77,4.536862004,4.78,9.1,28.385082,27.66141,39.173508,5256.841936
31,81,3.696702373,4.78,8.3,27.118656,29.527722,38.573622,5081.192116
31,79,3.59168242,4.78,8.2,31.679694,26.547336,36.99297,5361.694125
31,72,3.276622558,4.78,7.9,30.927456,26.242632,38.049912,5390.371647
31,80,3.801722327,4.78,8.4,34.412508,26.499726,34.307766,5366.174988
31,81,3.906742281,4.78,8.5,34.974306,26.975826,33.269868,5321.36636
30,82,3.836048345,4.85,8.5,32.246335,28.67821,34.225455,5150.955588
30,85,3.94114556,4.85,8.6,31.618345,29.258625,34.27303,5096.32925
30,83,3.94114556,4.85,8.6,34.31109,27.431745,33.407165,5268.267888
31,80,3.5207567,4.85,8.2,32.626935,28.440335,34.08273,5173.343431
31,81,3.94114556,4.85,8.6,28.39276,30.8286,35.92864,4948.569482
31,85,3.31056227,4.85,8,29.201535,32.86481,33.083655,4756.929542
30,84,3.73095113,4.85,8.4,31.03793,29.95322,34.15885,5030.956746
30,82,3.94114556,4.85,8.6,28.192945,30.08643,36.870625,5018.419554
31,86,3.5207567,4.85,8.2,33.844855,27.68865,33.616495,5244.089017
32,79,3.73095113,4.85,8.4,27.9741,35.005685,32.170215,4555.438951
30,84,3.94114556,4.85,8.6,33.825825,27.755255,33.56892,5237.82042
31,79,4.046242775,4.85,8.7,32.988505,27.70768,34.453815,5242.297989
32,73,3.73095113,4.85,8.4,29.21105,29.8771,36.06185,5038.120856
31,78,4.466631634,4.85,9.1,30.552665,24.91027,39.687065,5505.579029
32,79,4.571728849,4.85,9.2,29.582135,28.27858,37.289285,5188.567165
31,81,4.519180242,4.85,9.15,26.8323,31.389985,36.927715,4895.734172
30,85,4.887020494,4.85,9.5,32.02749,29.78195,33.34056,5047.075994
32,76,4.256437204,4.85,8.9,26.670545,29.943705,38.53575,5031.85226
32,76,4.308985812,4.85,8.95,29.09687,31.294835,34.758295,4904.689309
30,89,4.230688276,4.98,9,32.87692,30.510922,31.632158,4959.545265
30,83,4.493790781,4.98,9.25,31.26158,27.574804,36.183616,5235.880947
31,87,4.388549779,4.98,9.15,31.936222,29.161638,33.92214,5086.534478
30,89,4.335929278,4.98,9.1,29.465702,33.180984,32.373314,4708.24971
31,81,4.335929278,4.98,9.1,29.940802,27.945382,37.133816,5201.003628
31,79,4.283308777,4.98,9.05,29.418192,28.629526,36.972282,5136.614731
30,78,4.188591875,4.98,8.96,32.183274,29.541718,33.295008,5050.762869
30,75,4.230688276,4.98,9,32.06925,27.498788,35.451962,5243.035269
31,72,4.44117028,4.98,9.2,28.087912,33.06696,33.865128,4718.981193
32,76,4.230688276,4.98,9,32.382816,26.453568,36.183616,5341.407194
32,74,4.51626487,5.01,9.3,34.063414,25.324334,35.602252,5443.319381
32,73,4.726813349,5.01,9.5,32.524576,26.720687,35.744737,5311.900222
32,74,4.200442152,5.01,9,29.484896,33.037522,32.467582,4717.384979
